                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8683,                 2.4101,                 1.3937,                0.58703,                0.13899,                0.12425,                0.05383,                 2.4476,                 3.4143,                 1.8046,             0.00056598,             0.00056598,             0.00056598
                     35,                 1.7853,                  2.292,                 1.3717,                0.30354,                 0.1306,                0.15361,                0.05993,                 2.4866,                 3.0998,                 1.7956,             0.00055964,             0.00055964,             0.00055964
                     36,                 1.7986,                 2.3008,                 1.3451,                0.35216,                0.13608,                0.15456,                0.05901,                 2.5132,                 3.2357,                 1.8274,              0.0005533,              0.0005533,              0.0005533
                     37,                 1.7723,                 2.2783,                 1.3382,                0.31526,                0.13567,                0.13158,                0.05525,                 2.5728,                 3.5158,                  1.828,             0.00054695,             0.00054695,             0.00054695
                     38,                 1.7578,                 2.1666,                 1.3407,                0.28858,                0.18543,                0.11243,                0.04548,                 2.6037,                 3.3309,                 1.8504,             0.00054061,             0.00054061,             0.00054061
                     39,                 1.7812,                 2.2923,                 1.3406,                0.55978,                0.15549,                0.14407,                0.05691,                 2.5334,                 3.1176,                 1.8014,             0.00053426,             0.00053426,             0.00053426
                     40,                 1.7705,                 2.2372,                 1.3577,                0.34713,                0.15318,                0.15647,                0.06985,                 2.5883,                 3.1633,                 1.8146,             0.00052792,             0.00052792,             0.00052792
                     41,                 1.7255,                 2.1176,                 1.2973,                0.31186,                0.16739,                0.13929,                0.05998,                 2.4995,                 3.1198,                 1.8558,             0.00052157,             0.00052157,             0.00052157
                     42,                 1.7438,                 2.1391,                 1.3233,                0.33298,                0.21523,                0.20291,                0.06275,                 2.5388,                 3.1435,                 1.8849,             0.00051523,             0.00051523,             0.00051523
                     43,                 1.7577,                 2.1914,                  1.332,                0.33452,                0.18808,                0.15223,                0.05149,                 2.6357,                 3.1995,                 1.9372,             0.00050889,             0.00050889,             0.00050889
                     44,                 1.7255,                 2.1229,                 1.3178,                0.43714,                0.16919,                0.16594,                0.07022,                 2.5236,                 3.2475,                 1.8718,             0.00050254,             0.00050254,             0.00050254
                     45,                 1.7002,                 2.1016,                 1.3154,                0.31132,                0.19243,                0.14455,                0.05242,                 2.5196,                  3.298,                 1.9155,              0.0004962,              0.0004962,              0.0004962
                     46,                 1.7228,                 2.0997,                 1.3202,                0.43107,                0.13319,                0.12536,                0.04714,                 2.5277,                 3.3394,                 1.8761,             0.00048985,             0.00048985,             0.00048985
                     47,                 1.7122,                  2.056,                 1.3001,                0.46039,                 0.1396,                0.12841,                0.03226,                 2.6732,                 3.3071,                 2.0328,             0.00048351,             0.00048351,             0.00048351
                     48,                 1.6483,                 1.9799,                 1.2902,                0.26813,                0.17195,                0.13051,                0.04994,                 2.5578,                 3.5657,                  1.862,             0.00047716,             0.00047716,             0.00047716
                     49,                 1.7156,                 2.0253,                 1.2932,                0.72415,                0.09257,                0.11598,                0.04571,                 2.4849,                 3.6733,                 1.8453,             0.00047082,             0.00047082,             0.00047082
                     50,                 1.6598,                 1.9985,                 1.2656,                0.28507,                 0.1836,                0.14594,                0.05178,                 2.4588,                 3.5068,                 1.8589,             0.00046448,             0.00046448,             0.00046448
                     51,                 1.6326,                 1.9052,                 1.2668,                 0.3994,                0.14946,                0.15222,                0.06747,                 2.6089,                 3.2412,                   1.88,             0.00045813,             0.00045813,             0.00045813
                     52,                 1.6213,                 1.9129,                 1.2792,                0.27932,                0.16384,                0.14208,                0.05884,                 2.6386,                  3.362,                 1.9046,             0.00045179,             0.00045179,             0.00045179
                     53,                 1.6424,                 1.9323,                 1.2759,                0.33635,                0.19376,                0.14264,                0.05618,                 2.5206,                 3.1307,                 1.8495,             0.00044544,             0.00044544,             0.00044544
                     54,                  1.618,                  1.855,                 1.2547,                0.29252,                0.16456,                0.12349,                0.04568,                 2.5951,                 3.4585,                 1.9121,              0.0004391,              0.0004391,              0.0004391
                     55,                 1.6356,                 1.8699,                 1.2737,                0.71825,                0.09759,                0.10603,                0.04305,                 2.6122,                 3.4775,                 2.0093,             0.00043275,             0.00043275,             0.00043275
