                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8244,                 2.2338,                 1.4001,                0.61621,                0.13963,                0.12714,                  0.039,                 2.5846,                 3.4997,                 1.8888,             0.00064719,             0.00064719,             0.00064719
                     35,                 1.7386,                 2.1134,                 1.3525,                0.54919,                0.12215,                0.13585,                0.05126,                 2.5403,                 3.1621,                 1.8484,             0.00064338,             0.00064338,             0.00064338
                     36,                 1.7343,                 2.1356,                 1.3418,                0.45083,                0.14139,                0.13452,                0.05468,                  2.569,                 3.0945,                 1.8625,             0.00063958,             0.00063958,             0.00063958
                     37,                 1.7117,                 2.1042,                  1.328,                0.11778,                0.16757,                0.13135,                0.04603,                 2.5215,                 3.3707,                 1.8861,             0.00063577,             0.00063577,             0.00063577
                     38,                 1.7043,                 2.0299,                 1.3387,                0.19289,                0.11796,                0.08099,                0.03836,                 2.5203,                 3.3744,                  1.892,             0.00063196,             0.00063196,             0.00063196
                     39,                 1.7013,                  2.064,                  1.328,                0.54589,                0.11264,                0.09182,                0.04252,                 2.5038,                 3.1818,                 1.8376,             0.00062816,             0.00062816,             0.00062816
                     40,                 1.6812,                 2.0729,                 1.3383,                0.28898,                0.10082,                  0.092,                0.04246,                 2.6345,                 3.1744,                 1.9756,             0.00062435,             0.00062435,             0.00062435
                     41,                 1.6818,                 1.9733,                  1.297,                0.22417,                0.16339,                0.13124,                0.04738,                 2.5484,                 3.2075,                 1.8628,             0.00062054,             0.00062054,             0.00062054
                     42,                 1.6643,                 1.9341,                 1.3094,                0.29849,                0.22431,                0.19184,                0.05841,                 2.5891,                  3.254,                 1.9196,             0.00061674,             0.00061674,             0.00061674
                     43,                 1.6468,                 1.9763,                 1.3203,                0.31389,                0.22532,                0.22195,                0.06618,                 2.6009,                   3.16,                 1.9724,             0.00061293,             0.00061293,             0.00061293
                     44,                 1.6458,                 1.9018,                 1.3116,                0.28789,                0.17327,                0.15876,                0.06566,                 2.5864,                 3.6249,                 1.9073,             0.00060912,             0.00060912,             0.00060912
                     45,                 1.6445,                 1.9239,                 1.3047,                0.13723,                0.14192,                0.11568,                0.04084,                 2.5892,                  3.359,                 2.0097,             0.00060532,             0.00060532,             0.00060532
                     46,                 1.6612,                 1.9308,                 1.3134,                0.15574,                0.23768,                0.16917,                0.05255,                 2.5821,                 3.3836,                  1.903,             0.00060151,             0.00060151,             0.00060151
                     47,                 1.6495,                 1.9066,                 1.3076,                0.22632,                0.18499,                0.15287,                0.05191,                 2.5904,                 3.3639,                 1.9338,             0.00059771,             0.00059771,             0.00059771
                     48,                 1.5757,                 1.8171,                 1.2724,                0.10284,                0.19257,                0.16349,                 0.0553,                 2.5535,                 3.3608,                 1.9288,              0.0005939,              0.0005939,              0.0005939
                     49,                 1.6289,                 1.8569,                 1.2887,                0.36404,                0.17283,                0.11892,                0.04816,                 2.5349,                   3.75,                 1.9092,             0.00059009,             0.00059009,             0.00059009
                     50,                 1.5923,                 1.8187,                 1.2622,                0.16217,                0.26966,                0.20544,                0.06515,                 2.5877,                 3.7382,                 1.9699,             0.00058629,             0.00058629,             0.00058629
                     51,                 1.5784,                 1.7383,                 1.2642,                0.36158,                0.19909,                0.14283,                0.04486,                 2.6231,                 3.3039,                 1.9893,             0.00058248,             0.00058248,             0.00058248
                     52,                 1.5361,                 1.7534,                 1.2695,                 0.2624,                 0.1705,                0.14815,                 0.0525,                 2.6614,                 3.5529,                 1.9927,             0.00057867,             0.00057867,             0.00057867
                     53,                 1.5457,                 1.7165,                 1.2613,                0.40876,                0.15483,                0.13774,                 0.0494,                 2.6028,                 3.4734,                 1.9426,             0.00057487,             0.00057487,             0.00057487
                     54,                 1.4952,                 1.6604,                 1.2299,                0.32593,                0.14157,                0.14108,                 0.0481,                 2.6738,                 3.5578,                 1.9585,             0.00057106,             0.00057106,             0.00057106
                     55,                 1.5376,                 1.6534,                 1.2556,                0.21609,                0.28927,                0.22198,                0.06015,                 2.6647,                 3.4896,                 2.0069,             0.00056725,             0.00056725,             0.00056725
                     56,                 1.5111,                 1.6433,                 1.2331,                0.23322,                0.15787,                0.13281,                0.04657,                  2.589,                 3.2606,                 1.9766,             0.00056345,             0.00056345,             0.00056345
                     57,                 1.5073,                 1.6777,                 1.2224,                0.19167,                  0.241,                0.14909,                0.05162,                 2.6698,                 3.5706,                 2.0312,             0.00055964,             0.00055964,             0.00055964
                     58,                 1.4816,                 1.6161,                  1.215,                0.39254,                0.28116,                0.20551,                 0.0609,                 2.6952,                 3.4075,                 2.0961,             0.00055583,             0.00055583,             0.00055583
                     59,                 1.4768,                  1.607,                 1.2092,                0.30035,                0.20947,                0.16515,                0.05945,                 2.7259,                 3.3875,                 2.0108,             0.00055203,             0.00055203,             0.00055203
                     60,                 1.5285,                 1.5886,                 1.2501,                0.28186,                0.22327,                0.15595,                0.05674,                 2.6716,                 3.6233,                  2.065,             0.00054822,             0.00054822,             0.00054822
                     61,                 1.5157,                  1.641,                 1.2302,                 0.2221,                0.16099,                0.15258,                0.04411,                 2.7064,                 3.4363,                 2.0535,             0.00054441,             0.00054441,             0.00054441
                     62,                 1.4811,                 1.5758,                 1.1949,                0.24648,                0.15438,                0.14241,                0.05178,                 2.6214,                 3.3065,                 1.9474,             0.00054061,             0.00054061,             0.00054061
                     63,                 1.4485,                 1.5483,                 1.1945,                0.21558,                0.30071,                0.21076,                0.06252,                 2.7554,                 3.4391,                 2.0716,              0.0005368,              0.0005368,              0.0005368
                     64,                 1.4606,                 1.4897,                 1.1921,                0.22718,                0.21662,                0.15572,                 0.0443,                 2.6506,                 3.5095,                 2.0529,             0.00053299,             0.00053299,             0.00053299
                     65,                  1.424,                 1.4725,                 1.1833,                0.18226,                0.23239,                0.15319,                0.05395,                 2.6053,                  3.164,                 1.9582,             0.00052919,             0.00052919,             0.00052919
                     66,                 1.4458,                 1.5156,                 1.1981,                0.21662,                0.22909,                0.15132,                0.05335,                 2.6909,                 3.5276,                  2.071,             0.00052538,             0.00052538,             0.00052538
                     67,                 1.4757,                  1.447,                 1.1908,                0.28574,                0.16313,                0.14741,                0.05384,                 2.5814,                 3.6043,                 2.0037,             0.00052157,             0.00052157,             0.00052157
                     68,                 1.4407,                 1.4216,                 1.1814,                 0.3551,                0.20493,                0.19555,                0.06128,                  2.552,                 3.5546,                 1.9304,             0.00051777,             0.00051777,             0.00051777
                     69,                 1.4442,                 1.4921,                 1.1822,                0.24851,                0.22385,                0.14523,                0.04202,                 2.6353,                 4.1312,                 1.9297,             0.00051396,             0.00051396,             0.00051396
                     70,                 1.4716,                 1.4977,                 1.2124,                0.15309,                0.21108,                0.13511,                0.04243,                 2.6689,                 3.6003,                 2.0715,             0.00051015,             0.00051015,             0.00051015
                     71,                 1.3913,                 1.3943,                 1.1596,                0.29603,                0.16557,                0.16867,                0.05783,                 2.6218,                 3.7953,                 2.0028,             0.00050635,             0.00050635,             0.00050635
                     72,                 1.4083,                 1.4726,                 1.1709,                0.38369,                0.25493,                0.19094,                0.07028,                 2.6439,                 3.7634,                 2.0236,             0.00050254,             0.00050254,             0.00050254
                     73,                 1.3804,                 1.4193,                 1.1794,                0.17682,                0.14275,                0.11113,                 0.0345,                 2.6987,                 3.6836,                 2.0382,             0.00049873,             0.00049873,             0.00049873
