                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7798,                 2.2382,                 1.3409,                0.25883,                0.23247,                0.13282,                0.07315,                  2.495,                 3.3386,                 1.7441,             0.00028176,             0.00028176,             0.00028176
                     35,                 1.6816,                 2.1419,                 1.2977,                0.22049,                0.18349,                0.14646,                0.06948,                 2.5148,                 3.2477,                 1.7537,             0.00026654,             0.00026654,             0.00026654
                     36,                 1.7058,                  2.124,                 1.2923,                0.36813,                0.15097,                0.17069,                0.07184,                 2.5227,                 3.1992,                 1.8215,             0.00025131,             0.00025131,             0.00025131
                     37,                  1.687,                 2.1377,                 1.2844,                0.36143,                0.14747,                0.21986,                 0.0909,                 2.5859,                 3.2705,                 1.7881,             0.00023608,             0.00023608,             0.00023608
                     38,                 1.6762,                 2.0206,                 1.2946,                0.44606,                0.16117,                0.13984,                0.06438,                 2.5393,                 3.3839,                 1.8156,             0.00022086,             0.00022086,             0.00022086
                     39,                 1.6746,                 2.0802,                 1.2806,                0.58498,                0.16661,                  0.188,                0.07219,                 2.5658,                 3.1857,                 1.8517,             0.00020563,             0.00020563,             0.00020563
                     40,                 1.6407,                 2.0396,                 1.2846,                 0.4171,                0.17539,                 0.1662,                0.06987,                 2.5023,                 3.2477,                 1.8079,              0.0001904,              0.0001904,              0.0001904
                     41,                 1.6923,                 1.8503,                 1.2293,                0.35724,                0.17222,                0.19333,                0.08502,                 2.5309,                 3.2703,                 1.8197,             0.00017518,             0.00017518,             0.00017518
                     42,                 1.6594,                 1.7877,                 1.2194,                0.41179,                0.14901,                0.16713,                 0.0715,                 2.4863,                 3.1853,                  1.785,             0.00015995,             0.00015995,             0.00015995
                     43,                 1.6596,                 1.7091,                 1.2084,                0.36997,                 0.1648,                0.16708,                0.06401,                 2.5476,                 3.2498,                 1.8654,             0.00014473,             0.00014473,             0.00014473
                     44,                 1.6236,                 1.6743,                 1.1916,                0.36838,                 0.1717,                0.16979,                  0.066,                 2.5297,                 3.2407,                 1.8692,              0.0001295,              0.0001295,              0.0001295
                     45,                 1.5851,                 1.6599,                  1.174,                0.40698,                0.15643,                0.17377,                0.06723,                 2.5158,                 3.2131,                 1.8405,             0.00011427,             0.00011427,             0.00011427
                     46,                 1.6045,                 1.6438,                 1.1836,                0.36046,                0.17199,                0.18717,                0.07192,                  2.549,                 3.3531,                  1.852,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                 1.5772,                 1.6027,                 1.1527,                0.28233,                0.22633,                0.19816,                0.07027,                 2.5134,                 3.2562,                 1.8415,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                 1.5909,                 1.6082,                 1.1564,                0.30526,                0.16743,                0.17674,                0.06366,                 2.5417,                 3.3891,                  1.842,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                 1.5815,                 1.5535,                 1.1552,                0.27119,                0.19462,                0.19093,                0.07152,                 2.4976,                 3.3091,                 1.8178,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                 1.5541,                 1.5125,                   1.15,                0.29994,                0.19146,                0.18265,                0.06551,                 2.5127,                 3.3203,                 1.8276,             3.8142e-05,             3.8142e-05,             3.8142e-05
