                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.811,                 2.2041,                 1.3606,                0.32774,                0.22102,                0.13257,                0.05327,                 2.4766,                 3.3454,                 1.8321,             0.00036297,             0.00036297,             0.00036297
                     35,                 1.7211,                 2.1168,                 1.3352,                0.31684,                0.14131,                0.13746,                0.04658,                 2.5585,                 3.4555,                 1.7883,             0.00035028,             0.00035028,             0.00035028
                     36,                 1.7453,                 2.0708,                 1.3261,                0.51465,                0.15433,                0.16179,                 0.0702,                 2.6121,                 3.3005,                  1.846,             0.00033759,             0.00033759,             0.00033759
                     37,                 1.7054,                 2.0796,                 1.3172,                0.31245,                0.13623,                0.13326,                0.05091,                 2.5793,                 3.5886,                 1.8496,              0.0003249,              0.0003249,              0.0003249
                     38,                   1.69,                 1.9982,                 1.3163,                0.18492,                0.17206,                0.14505,                0.06004,                 2.6043,                  3.357,                 1.8787,             0.00031221,             0.00031221,             0.00031221
                     39,                 1.6942,                 2.0266,                 1.3032,                0.40406,                0.13975,                0.14071,                0.04802,                 2.4602,                 3.2173,                 1.8267,             0.00029953,             0.00029953,             0.00029953
                     40,                 1.6479,                 2.0018,                 1.3064,                0.16436,                0.17035,                0.14247,                 0.0557,                 2.5427,                 3.1873,                 1.7943,             0.00028684,             0.00028684,             0.00028684
                     41,                 1.6501,                  1.902,                 1.2829,                0.34606,                0.13765,                 0.1464,                0.05414,                 2.5665,                 3.1708,                 1.8975,             0.00027415,             0.00027415,             0.00027415
                     42,                  1.608,                 1.8606,                 1.2745,                0.20224,                0.25911,                0.14762,                0.04963,                 2.5706,                  3.509,                 1.8717,             0.00026146,             0.00026146,             0.00026146
                     43,                 1.6464,                 1.9135,                 1.2969,                0.23247,                 0.1232,                0.12992,                0.05185,                 2.4613,                 3.2537,                 1.8155,             0.00024877,             0.00024877,             0.00024877
                     44,                 1.5932,                  1.855,                 1.2628,                0.47619,                0.14056,                 0.1336,                0.04962,                 2.5194,                 3.4254,                 1.8467,             0.00023608,             0.00023608,             0.00023608
                     45,                   1.58,                 1.7819,                  1.262,                0.14992,                0.25884,                0.12548,                0.04073,                 2.5469,                 3.5502,                 1.8968,             0.00022339,             0.00022339,             0.00022339
                     46,                 1.6011,                 1.8035,                 1.2703,                0.19419,                0.28242,                0.17599,                0.05206,                 2.5933,                 3.3851,                 1.8559,             0.00021071,             0.00021071,             0.00021071
                     47,                 1.5778,                 1.7611,                 1.2536,                0.16489,                0.15974,                0.11916,                0.04453,                 2.5993,                 3.4458,                 1.9175,             0.00019802,             0.00019802,             0.00019802
                     48,                 1.5319,                 1.6689,                 1.2418,                0.16184,                0.24645,                0.15916,                0.04755,                 2.6513,                 3.3878,                 1.9225,             0.00018533,             0.00018533,             0.00018533
                     49,                 1.5981,                 1.7153,                   1.25,                0.36312,                0.13608,                0.13687,                0.04631,                 2.5679,                 3.5824,                 1.8855,             0.00017264,             0.00017264,             0.00017264
                     50,                 1.5371,                 1.6919,                  1.213,                0.15487,                0.22809,                0.12903,                0.04627,                 2.5358,                 3.4356,                  1.843,             0.00015995,             0.00015995,             0.00015995
                     51,                 1.5584,                 1.4787,                 1.1667,                0.24367,                0.12262,                0.11951,                0.04467,                 2.5267,                 3.2524,                 1.8664,             0.00014726,             0.00014726,             0.00014726
                     52,                 1.5467,                 1.4101,                  1.166,                0.17779,                0.17922,                0.13186,                0.04489,                 2.5573,                 3.3102,                 1.8457,             0.00013457,             0.00013457,             0.00013457
                     53,                 1.5073,                 1.3715,                 1.1558,                0.15085,                0.26813,                0.15776,                0.05119,                 2.5571,                 3.3395,                 1.8501,             0.00012189,             0.00012189,             0.00012189
                     54,                 1.4917,                  1.335,                 1.1382,                0.24582,                0.13557,                 0.1245,                0.04387,                 2.5018,                 3.4627,                 1.8237,              0.0001092,              0.0001092,              0.0001092
                     55,                 1.4676,                  1.284,                 1.1241,                0.29859,                0.13537,                0.13502,                0.04333,                 2.4885,                 3.3276,                 1.8029,              9.651e-05,              9.651e-05,              9.651e-05
                     56,                 1.4783,                 1.2448,                 1.1292,                0.25007,                 0.1477,                0.15367,                0.05359,                 2.5306,                 3.4731,                 1.8343,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     57,                 1.4106,                 1.2235,                 1.0936,                0.15298,                0.22767,                0.17577,                0.04892,                 2.5493,                 3.3066,                 1.8379,             7.1133e-05,             7.1133e-05,             7.1133e-05
                     58,                 1.4082,                 1.2079,                 1.0889,                 0.2164,                0.19586,                0.15805,                0.05121,                 2.5981,                 3.3509,                 1.8875,             5.8444e-05,             5.8444e-05,             5.8444e-05
                     59,                 1.4207,                 1.2176,                 1.0955,                0.38878,                0.19557,                0.16079,                0.04959,                 2.5537,                 3.3649,                 1.8576,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     60,                  1.415,                 1.1841,                 1.1052,                0.22199,                0.20129,                0.15171,                0.04586,                 2.5854,                 3.3361,                 1.8831,             3.3067e-05,             3.3067e-05,             3.3067e-05
