                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6665,                 1.9142,                 1.2965,                0.18127,                0.19151,                 0.1447,                0.04818,                 2.4826,                 3.2415,                 1.8987,             0.00036297,             0.00036297,             0.00036297
                     35,                 1.5898,                 1.8159,                 1.2708,                0.25542,                0.20181,                0.18636,                0.06284,                 2.5233,                 3.1361,                 1.8362,             0.00035028,             0.00035028,             0.00035028
                     36,                 1.6198,                 1.7836,                 1.2615,                 0.7477,                0.17012,                0.20341,                0.08079,                 2.5551,                 3.6186,                 1.8981,             0.00033759,             0.00033759,             0.00033759
                     37,                 1.5733,                 1.8378,                 1.2447,                0.17081,                0.22771,                0.16463,                0.05665,                 2.6198,                 3.4815,                 1.9114,              0.0003249,              0.0003249,              0.0003249
                     38,                 1.5517,                  1.735,                 1.2559,                0.28484,                0.23978,                0.24296,                0.06241,                 2.6179,                 3.5604,                 1.9566,             0.00031221,             0.00031221,             0.00031221
                     39,                 1.5567,                 1.8156,                 1.2473,                 0.1578,                0.18333,                0.15415,                0.05078,                 2.5521,                 3.2113,                 1.9061,             0.00029953,             0.00029953,             0.00029953
                     40,                  1.524,                 1.7249,                 1.2636,                0.43548,                0.14222,                0.15299,                0.05414,                 2.6105,                 3.1246,                 1.8883,             0.00028684,             0.00028684,             0.00028684
                     41,                 1.5351,                 1.6326,                 1.2228,                0.41183,                0.21128,                0.18969,                0.05877,                 2.5047,                 3.5173,                 1.8357,             0.00027415,             0.00027415,             0.00027415
                     42,                 1.5079,                 1.6244,                 1.2365,                0.37242,                0.19617,                 0.1791,                0.04911,                 2.5709,                 3.3926,                 1.9061,             0.00026146,             0.00026146,             0.00026146
                     43,                 1.5065,                 1.6578,                 1.2285,                0.18941,                0.22958,                0.18254,                 0.0584,                 2.6184,                 3.4274,                 1.9474,             0.00024877,             0.00024877,             0.00024877
                     44,                 1.4744,                 1.5803,                 1.2085,                0.30135,                0.19828,                0.18364,                0.05879,                 2.5503,                 3.3864,                 1.8434,             0.00023608,             0.00023608,             0.00023608
                     45,                 1.4628,                 1.5461,                 1.2107,                 0.2064,                0.28974,                0.17735,                0.05787,                 2.5649,                 3.6887,                 1.8712,             0.00022339,             0.00022339,             0.00022339
                     46,                 1.4657,                 1.5299,                 1.2074,                0.24159,                0.21905,                0.14372,                0.05569,                 2.6659,                 3.6052,                 1.9449,             0.00021071,             0.00021071,             0.00021071
                     47,                 1.4505,                 1.5056,                 1.1944,                0.22506,                0.21114,                0.14393,                0.05126,                 2.6157,                 3.4812,                 1.9751,             0.00019802,             0.00019802,             0.00019802
                     48,                 1.3913,                  1.444,                 1.1724,                 0.2358,                0.22295,                0.16918,                0.06004,                 2.6174,                 3.4967,                 1.9875,             0.00018533,             0.00018533,             0.00018533
                     49,                  1.437,                  1.465,                 1.1818,                0.30172,                0.21249,                0.15885,                0.05873,                 2.5324,                 3.5897,                 1.9758,             0.00017264,             0.00017264,             0.00017264
                     50,                 1.3778,                 1.4262,                 1.1452,                0.19559,                0.24081,                 0.1556,                0.05509,                 2.5633,                  3.351,                  1.957,             0.00015995,             0.00015995,             0.00015995
                     51,                 1.4265,                 1.2717,                 1.1109,                0.31376,                0.14763,                0.16139,                0.05999,                 2.5724,                 3.3199,                 1.9795,             0.00014726,             0.00014726,             0.00014726
                     52,                 1.4197,                 1.2016,                 1.1084,                0.16715,                0.22466,                0.14125,                0.05295,                  2.536,                 3.3945,                 1.9529,             0.00013457,             0.00013457,             0.00013457
                     53,                 1.3573,                 1.1632,                  1.083,                0.33883,                0.19475,                0.14897,                0.05696,                 2.5955,                 3.5029,                   1.97,             0.00012189,             0.00012189,             0.00012189
                     54,                  1.346,                 1.1378,                  1.075,                0.38052,                0.22123,                0.19647,                0.06553,                 2.5758,                 3.9461,                 1.9511,              0.0001092,              0.0001092,              0.0001092
                     55,                 1.2987,                 1.0827,                 1.0552,                0.37883,                0.20158,                0.18962,                0.06706,                 2.5525,                 3.9218,                 1.9431,              9.651e-05,              9.651e-05,              9.651e-05
                     56,                 1.3144,                 1.0396,                 1.0567,                0.29465,                0.22954,                0.16056,                0.05672,                 2.5322,                 3.6946,                 1.9233,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     57,                 1.2397,                 1.0197,                 1.0264,                0.38124,                 0.2042,                0.15901,                0.05646,                 2.5879,                 3.5523,                 1.9685,             7.1133e-05,             7.1133e-05,             7.1133e-05
                     58,                 1.2705,                 1.0316,                 1.0413,                0.30972,                0.19891,                0.16366,                0.06391,                 2.6086,                 3.8824,                 2.0224,             5.8444e-05,             5.8444e-05,             5.8444e-05
                     59,                 1.2518,                 1.0213,                  1.034,                0.34491,                 0.1925,                0.15661,                 0.0481,                 2.6154,                 3.8014,                 2.0208,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     60,                  1.239,                 1.0025,                 1.0333,                0.24174,                0.20246,                 0.1585,                0.05318,                 2.6069,                 3.9508,                  2.003,             3.3067e-05,             3.3067e-05,             3.3067e-05
