                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0954,                 2.5261,                 1.2741,                0.20881,                0.10364,                0.05404,                0.02316,                 2.7907,                 2.9968,                 1.6727,             0.00028176,             0.00028176,             0.00028176
                     35,                 2.0135,                 2.4389,                 1.2656,                0.24879,                0.13094,                0.10402,                0.03825,                 2.7914,                  3.099,                 1.6482,             0.00026654,             0.00026654,             0.00026654
                     36,                 1.9924,                 2.4368,                 1.2382,                 0.2446,                0.13736,                0.08205,                0.03306,                 2.7431,                 3.0234,                 1.6386,             0.00025131,             0.00025131,             0.00025131
                     37,                 2.0053,                 2.3872,                 1.2389,                0.36425,                0.13143,                0.08004,                0.03331,                 2.6663,                 3.0892,                 1.6171,             0.00023608,             0.00023608,             0.00023608
                     38,                 1.9478,                 2.3583,                 1.2601,                0.35828,                0.12325,                0.11204,                0.04887,                 2.6699,                 3.1661,                 1.6545,             0.00022086,             0.00022086,             0.00022086
                     39,                 1.9838,                 2.3905,                 1.2449,                0.70091,                 0.0718,                0.08908,                0.03233,                 2.7259,                 3.1235,                 1.6769,             0.00020563,             0.00020563,             0.00020563
                     40,                 1.8919,                 2.2877,                 1.1956,                0.25294,                0.14568,                0.11576,                0.04164,                 2.6992,                 2.9827,                 1.6135,              0.0001904,              0.0001904,              0.0001904
                     41,                 1.8203,                 2.0028,                 1.1167,                0.28533,                0.10638,                 0.1154,                0.04445,                 2.6647,                  3.131,                 1.6539,             0.00017518,             0.00017518,             0.00017518
                     42,                 1.8056,                 1.9125,                 1.1021,                0.32212,                0.13571,                0.11214,                0.04945,                   2.76,                 3.7716,                  1.655,             0.00015995,             0.00015995,             0.00015995
                     43,                 1.8836,                 1.9196,                 1.1066,                0.20317,                0.12374,                0.11215,                0.04016,                 2.8043,                 3.2438,                  1.649,             0.00014473,             0.00014473,             0.00014473
                     44,                 1.8223,                 1.8537,                 1.0966,                0.45868,                0.10954,                 0.1172,                0.04877,                 2.7605,                  3.552,                 1.6519,              0.0001295,              0.0001295,              0.0001295
                     45,                 1.7764,                 1.8171,                 1.0645,                0.51709,                0.11036,                 0.1325,                0.04064,                 2.8331,                 3.7247,                 1.6674,             0.00011427,             0.00011427,             0.00011427
                     46,                 1.7615,                 1.7721,                 1.0557,                0.35424,                0.12374,                0.11784,                0.05191,                 2.7341,                 3.7224,                 1.6455,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                  1.728,                 1.7261,                 1.0466,                0.23403,                0.12269,                0.11476,                0.04958,                 2.7323,                 3.6185,                 1.6469,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                 1.7281,                 1.7338,                 1.0456,                0.31288,                0.13216,                0.11014,                0.03823,                 2.7184,                 3.8037,                 1.6556,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                 1.7185,                 1.6836,                 1.0274,                 0.3384,                0.11321,                0.10721,                0.03547,                 2.8155,                  3.444,                  1.695,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                 1.7235,                 1.6702,                  1.035,                0.30368,                0.13571,                 0.1281,                0.05091,                 2.7553,                 4.1988,                 1.7039,             3.8142e-05,             3.8142e-05,             3.8142e-05
