                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.2306,                 1.4017,                 1.1376,                   0.53,                0.26165,                0.28072,                0.17768,                 1.4404,                 1.7286,                 1.1941,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     34,                 1.2375,                 1.4034,                 1.1396,                0.44272,                0.28592,                0.28929,                0.18447,                 1.4484,                 1.7281,                 1.1904,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     35,                 1.2337,                 1.3858,                 1.1418,                0.48674,                0.30261,                0.28668,                0.18024,                 1.4576,                 1.8143,                  1.198,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     36,                 1.2248,                  1.363,                 1.1357,                0.44043,                0.29977,                0.29058,                0.18716,                 1.4394,                 1.7692,                 1.1924,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     37,                 1.2088,                 1.3389,                 1.1272,                 0.5035,                0.28829,                0.30066,                0.18763,                  1.432,                  1.711,                 1.1845,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     38,                 1.2116,                 1.3317,                 1.1326,                0.42877,                0.31116,                0.29231,                0.18594,                 1.4503,                 1.7482,                 1.1906,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     39,                 1.2054,                 1.3246,                 1.1306,                0.42414,                0.31203,                0.28991,                0.18215,                 1.4404,                 1.8364,                 1.1924,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     40,                 1.2058,                 1.3337,                 1.1285,                0.44984,                0.30403,                0.29367,                0.18329,                 1.4473,                 1.7208,                 1.1966,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     41,                 1.1333,                 1.1317,                 1.0635,                0.46172,                0.30362,                 0.2908,                0.18379,                 1.4406,                 1.8107,                 1.1946,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     42,                 1.1376,                 1.0912,                 1.0559,                0.48072,                0.28299,                0.29183,                0.18091,                 1.4282,                  1.848,                 1.1865,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     43,                  1.117,                 1.0723,                 1.0438,                0.49716,                 0.2822,                0.29379,                0.18545,                 1.4188,                 1.8258,                 1.1848,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     44,                 1.1204,                 1.0438,                 1.0491,                0.49538,                0.28528,                 0.2965,                0.18447,                 1.4286,                 1.8083,                 1.1928,              2.004e-05,              2.004e-05,              2.004e-05
                     45,                 1.1153,                  1.036,                 1.0471,                0.45789,                0.31081,                0.29565,                0.18565,                 1.4314,                 1.7961,                 1.1907,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     46,                 1.0996,                 1.0229,                  1.034,                 0.4054,                0.31354,                0.28994,                 0.1823,                 1.4193,                   1.84,                  1.189,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     47,                  1.104,                 1.0083,                  1.033,                0.47426,                0.30275,                 0.2965,                 0.1862,                  1.435,                 1.8149,                 1.1925,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     48,                 1.0808,                 0.9896,                 1.0249,                0.47349,                0.29778,                0.29875,                0.18666,                 1.4366,                 1.8226,                 1.1938,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     49,                 1.0899,                0.96964,                 1.0253,                0.48309,                0.29771,                0.29223,                0.18184,                 1.4372,                 1.8363,                 1.1942,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     50,                 1.0852,                0.98029,                 1.0289,                0.46509,                0.30059,                0.29279,                0.18536,                 1.4404,                 1.7944,                 1.1922,             5.9024e-06,             5.9024e-06,             5.9024e-06
